Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2023.10.15_15.36.23	-46.48698	-23.61121	TIM	5G	-104	36	832	
2023.10.15_15.36.25	-46.48711	-23.61132	TIM	5G	-103	36	833	
2023.10.15_15.36.25	-46.48711	-23.61132	TIM	5G	-103	36	833	
2023.10.15_15.36.27	-46.48723	-23.61141	TIM	5G	-101	25	833	
2023.10.15_15.36.29	-46.48731	-23.61148	TIM	5G	-101	22	833	
2023.10.15_15.36.29	-46.48731	-23.61148	TIM	5G	-101	22	833	
2023.10.15_15.36.32	-46.48739	-23.61155	TIM	5G	-100	12	834	
2023.10.15_15.36.42	-46.48739	-23.61155	TIM	4G	-85	0	834	
2023.10.15_15.36.44	-46.48749	-23.61153	TIM	4G	-85	7	830	
2023.10.15_15.36.47	-46.48749	-23.61153	TIM	4G	-84	7	830	
2023.10.15_15.36.50	-46.48756	-23.61133	TIM	4G	-90	12	831	
2023.10.15_15.36.53	-46.48756	-23.61133	TIM	5G	-97	12	831	
2023.10.15_15.36.57	-46.48757	-23.61142	TIM	5G	-97	15	832	
2023.10.15_15.37.02	-46.48758	-23.61151	TIM	5G	-95	7	832	
2023.10.15_15.37.09	-46.48758	-23.61151	TIM	4G	-89	7	832	
2023.10.15_15.37.12	-46.48760	-23.61163	TIM	5G	-100	21	837	
2023.10.15_15.37.13	-46.48760	-23.61163	TIM	5G	-103	21	837	
2023.10.15_15.37.14	-46.48769	-23.61170	TIM	5G	-103	26	836	
2023.10.15_15.37.16	-46.48780	-23.61179	TIM	5G	-105	28	837	
2023.10.15_15.37.17	-46.48781	-23.61197	TIM	5G	-105	33	837	
2023.10.15_15.37.18	-46.48787	-23.61208	TIM	5G	-105	34	839	
2023.10.15_15.37.19	-46.48794	-23.61215	TIM	5G	-105	35	842	
2023.10.15_15.37.20	-46.48804	-23.61221	TIM	5G	-105	36	844	
2023.10.15_15.37.21	-46.48812	-23.61231	TIM	5G	-105	37	843	
2023.10.15_15.37.22	-46.48820	-23.61239	TIM	5G	-102	36	843	
2023.10.15_15.37.24	-46.48836	-23.61250	TIM	5G	-102	37	844	
2023.10.15_15.37.25	-46.48844	-23.61257	TIM	5G	-103	38	846	
2023.10.15_15.37.26	-46.48854	-23.61262	TIM	5G	-103	37	846	
2023.10.15_15.37.27	-46.48864	-23.61267	TIM	5G	-103	40	846	
2023.10.15_15.37.29	-46.48881	-23.61273	TIM	5G	-107	37	846	
2023.10.15_15.37.30	-46.48891	-23.61278	TIM	5G	-107	37	848	
2023.10.15_15.37.31	-46.48902	-23.61282	TIM	5G	-109	39	849	
2023.10.15_15.37.32	-46.48913	-23.61285	TIM	5G	-109	41	849	
2023.10.15_15.37.33	-46.48925	-23.61288	TIM	5G	-108	44	848	
2023.10.15_15.37.34	-46.48937	-23.61289	TIM	5G	-108	42	848	
2023.10.15_15.37.35	-46.48949	-23.61290	TIM	5G	-108	42	846	
2023.10.15_15.37.36	-46.48966	-23.61288	TIM	5G	-108	55	846	
2023.10.15_15.37.37	-46.48983	-23.61285	TIM	5G	-109	60	848	
2023.10.15_15.37.38	-46.48999	-23.61282	TIM	5G	-109	58	849	
2023.10.15_15.37.39	-46.49016	-23.61281	TIM	5G	-109	60	849	
